shapeless-commit;upickle-commit;run;time_sec
0760706f;19052c3f;1;32
0760706f;19052c3f;2;30
0760706f;19052c3f;3;32
0760706f;19052c3f;4;34
0760706f;19052c3f;5;33
0760706f;2a63bef3;1;173
0760706f;2a63bef3;2;166
0760706f;2a63bef3;3;165
0760706f;2a63bef3;4;169
0760706f;2a63bef3;5;170
0760706f;4266949f;1;161
0760706f;4266949f;2;154
0760706f;4266949f;3;160
0760706f;4266949f;4;157
0760706f;4266949f;5;159
0760706f;5938da82;1;94
0760706f;5938da82;2;93
0760706f;5938da82;3;93
0760706f;5938da82;4;93
0760706f;5938da82;5;94
0760706f;aa82a2ba;1;118
0760706f;aa82a2ba;2;113
0760706f;aa82a2ba;3;115
0760706f;aa82a2ba;4;115
0760706f;aa82a2ba;5;117
0760706f;aabcc2a4;1;147
0760706f;aabcc2a4;2;139
0760706f;aabcc2a4;3;142
0760706f;aabcc2a4;4;139
0760706f;aabcc2a4;5;144
0760706f;b4d36c6e;1;97
0760706f;b4d36c6e;2;97
0760706f;b4d36c6e;3;97
0760706f;b4d36c6e;4;100
0760706f;b4d36c6e;5;93
0760706f;b823fab0;1;107
0760706f;b823fab0;2;106
0760706f;b823fab0;3;104
0760706f;b823fab0;4;105
0760706f;b823fab0;5;105
0760706f;e5954868;1;101
0760706f;e5954868;2;102
0760706f;e5954868;3;103
0760706f;e5954868;4;101
0760706f;e5954868;5;100
0fa6a9d4;19052c3f;1;33
0fa6a9d4;19052c3f;2;32
0fa6a9d4;19052c3f;3;33
0fa6a9d4;19052c3f;4;32
0fa6a9d4;19052c3f;5;34
0fa6a9d4;2a63bef3;1;168
0fa6a9d4;2a63bef3;2;160
0fa6a9d4;2a63bef3;3;166
0fa6a9d4;2a63bef3;4;163
0fa6a9d4;2a63bef3;5;165
0fa6a9d4;4266949f;1;157
0fa6a9d4;4266949f;2;156
0fa6a9d4;4266949f;3;161
0fa6a9d4;4266949f;4;155
0fa6a9d4;4266949f;5;153
0fa6a9d4;aa82a2ba;1;117
0fa6a9d4;aa82a2ba;2;116
0fa6a9d4;aa82a2ba;3;115
0fa6a9d4;aa82a2ba;4;122
0fa6a9d4;aa82a2ba;5;119
0fa6a9d4;aabcc2a4;1;137
0fa6a9d4;aabcc2a4;2;143
0fa6a9d4;aabcc2a4;3;135
0fa6a9d4;aabcc2a4;4;142
0fa6a9d4;aabcc2a4;5;142
0fa6a9d4;b823fab0;1;102
0fa6a9d4;b823fab0;2;105
0fa6a9d4;b823fab0;3;103
0fa6a9d4;b823fab0;4;103
0fa6a9d4;b823fab0;5;103
0fa6a9d4;e5954868;1;101
0fa6a9d4;e5954868;2;101
0fa6a9d4;e5954868;3;104
0fa6a9d4;e5954868;4;101
0fa6a9d4;e5954868;5;101
2085addf;19052c3f;1;34
2085addf;19052c3f;2;33
2085addf;19052c3f;3;33
2085addf;19052c3f;4;31
2085addf;19052c3f;5;34
2085addf;2a63bef3;1;165
2085addf;2a63bef3;2;168
2085addf;2a63bef3;3;169
2085addf;2a63bef3;4;169
2085addf;2a63bef3;5;163
2085addf;4266949f;1;157
2085addf;4266949f;2;154
2085addf;4266949f;3;159
2085addf;4266949f;4;159
2085addf;4266949f;5;160
2085addf;aa82a2ba;1;120
2085addf;aa82a2ba;2;117
2085addf;aa82a2ba;3;115
2085addf;aa82a2ba;4;116
2085addf;aa82a2ba;5;118
2085addf;aabcc2a4;1;143
2085addf;aabcc2a4;2;139
2085addf;aabcc2a4;3;140
2085addf;aabcc2a4;4;138
2085addf;aabcc2a4;5;136
2085addf;b823fab0;1;108
2085addf;b823fab0;2;105
2085addf;b823fab0;3;103
2085addf;b823fab0;4;106
2085addf;b823fab0;5;103
2085addf;e5954868;1;97
2085addf;e5954868;2;100
2085addf;e5954868;3;101
2085addf;e5954868;4;100
2085addf;e5954868;5;99
22b85cb8;19052c3f;1;35
22b85cb8;19052c3f;2;33
22b85cb8;19052c3f;3;32
22b85cb8;19052c3f;4;33
22b85cb8;19052c3f;5;35
22b85cb8;2a63bef3;1;161
22b85cb8;2a63bef3;2;159
22b85cb8;2a63bef3;3;154
22b85cb8;2a63bef3;4;158
22b85cb8;2a63bef3;5;160
22b85cb8;4266949f;1;159
22b85cb8;4266949f;2;156
22b85cb8;4266949f;3;154
22b85cb8;4266949f;4;156
22b85cb8;4266949f;5;150
22b85cb8;aa82a2ba;1;112
22b85cb8;aa82a2ba;2;111
22b85cb8;aa82a2ba;3;109
22b85cb8;aa82a2ba;4;113
22b85cb8;aa82a2ba;5;112
22b85cb8;aabcc2a4;1;134
22b85cb8;aabcc2a4;2;140
22b85cb8;aabcc2a4;3;130
22b85cb8;aabcc2a4;4;133
22b85cb8;aabcc2a4;5;132
22b85cb8;b823fab0;1;103
22b85cb8;b823fab0;2;99
22b85cb8;b823fab0;3;102
22b85cb8;b823fab0;4;106
22b85cb8;b823fab0;5;101
22b85cb8;e5954868;1;94
22b85cb8;e5954868;2;101
22b85cb8;e5954868;3;101
22b85cb8;e5954868;4;98
22b85cb8;e5954868;5;101
3fd06cd0;19052c3f;1;33
3fd06cd0;19052c3f;2;33
3fd06cd0;19052c3f;3;31
3fd06cd0;19052c3f;4;32
3fd06cd0;19052c3f;5;34
41f6f6c5;19052c3f;1;31
41f6f6c5;19052c3f;2;34
41f6f6c5;19052c3f;3;34
41f6f6c5;19052c3f;4;34
41f6f6c5;19052c3f;5;34
41f6f6c5;2a63bef3;1;180
41f6f6c5;2a63bef3;2;180
41f6f6c5;2a63bef3;3;179
41f6f6c5;2a63bef3;4;183
41f6f6c5;2a63bef3;5;173
41f6f6c5;4266949f;1;165
41f6f6c5;4266949f;2;166
41f6f6c5;4266949f;3;164
41f6f6c5;4266949f;4;168
41f6f6c5;4266949f;5;168
41f6f6c5;5938da82;1;100
41f6f6c5;5938da82;2;95
41f6f6c5;5938da82;3;94
41f6f6c5;5938da82;4;95
41f6f6c5;5938da82;5;90
41f6f6c5;aa82a2ba;1;122
41f6f6c5;aa82a2ba;2;124
41f6f6c5;aa82a2ba;3;124
41f6f6c5;aa82a2ba;4;121
41f6f6c5;aa82a2ba;5;123
41f6f6c5;aabcc2a4;1;152
41f6f6c5;aabcc2a4;2;149
41f6f6c5;aabcc2a4;3;149
41f6f6c5;aabcc2a4;4;146
41f6f6c5;aabcc2a4;5;146
41f6f6c5;b4d36c6e;1;100
41f6f6c5;b4d36c6e;2;100
41f6f6c5;b4d36c6e;3;100
41f6f6c5;b4d36c6e;4;99
41f6f6c5;b4d36c6e;5;98
41f6f6c5;b823fab0;1;106
41f6f6c5;b823fab0;2;108
41f6f6c5;b823fab0;3;107
41f6f6c5;b823fab0;4;108
41f6f6c5;b823fab0;5;108
41f6f6c5;e5954868;1;103
41f6f6c5;e5954868;2;107
41f6f6c5;e5954868;3;127
41f6f6c5;e5954868;4;107
41f6f6c5;e5954868;5;104
cd05b4af;19052c3f;1;34
cd05b4af;19052c3f;2;32
cd05b4af;19052c3f;3;35
cd05b4af;19052c3f;4;34
cd05b4af;19052c3f;5;31
cd05b4af;2a63bef3;1;161
cd05b4af;2a63bef3;2;157
cd05b4af;2a63bef3;3;160
cd05b4af;2a63bef3;4;160
cd05b4af;2a63bef3;5;160
cd05b4af;4266949f;1;153
cd05b4af;4266949f;2;153
cd05b4af;4266949f;3;157
cd05b4af;4266949f;4;154
cd05b4af;4266949f;5;155
cd05b4af;5938da82;1;91
cd05b4af;5938da82;2;93
cd05b4af;5938da82;3;88
cd05b4af;5938da82;4;94
cd05b4af;5938da82;5;87
cd05b4af;aa82a2ba;1;114
cd05b4af;aa82a2ba;2;108
cd05b4af;aa82a2ba;3;110
cd05b4af;aa82a2ba;4;111
cd05b4af;aa82a2ba;5;111
cd05b4af;aabcc2a4;1;134
cd05b4af;aabcc2a4;2;130
cd05b4af;aabcc2a4;3;132
cd05b4af;aabcc2a4;4;130
cd05b4af;aabcc2a4;5;133
cd05b4af;b4d36c6e;1;93
cd05b4af;b4d36c6e;2;95
cd05b4af;b4d36c6e;3;93
cd05b4af;b4d36c6e;4;94
cd05b4af;b4d36c6e;5;96
cd05b4af;b823fab0;1;103
cd05b4af;b823fab0;2;101
cd05b4af;b823fab0;3;102
cd05b4af;b823fab0;4;104
cd05b4af;b823fab0;5;102
cd05b4af;e5954868;1;97
cd05b4af;e5954868;2;99
cd05b4af;e5954868;3;99
cd05b4af;e5954868;4;98
cd05b4af;e5954868;5;97
