shapeless-commit;upickle-commit;run;time_sec
28770722;69fd7f8c;1;144
28770722;69fd7f8c;10;125
28770722;69fd7f8c;11;129
28770722;69fd7f8c;12;127
28770722;69fd7f8c;13;132
28770722;69fd7f8c;2;152
28770722;69fd7f8c;3;139
28770722;69fd7f8c;4;156
28770722;69fd7f8c;5;136
28770722;69fd7f8c;6;125
28770722;69fd7f8c;7;132
28770722;69fd7f8c;8;128
28770722;69fd7f8c;9;133
28770722;962526e1;1;159
28770722;962526e1;10;143
28770722;962526e1;11;146
28770722;962526e1;12;140
28770722;962526e1;13;162
28770722;962526e1;2;173
28770722;962526e1;3;186
28770722;962526e1;4;162
28770722;962526e1;5;158
28770722;962526e1;6;170
28770722;962526e1;7;141
28770722;962526e1;8;140
28770722;962526e1;9;169
28770722;9713b2a8;1;93
28770722;9713b2a8;10;85
28770722;9713b2a8;11;88
28770722;9713b2a8;12;85
28770722;9713b2a8;13;86
28770722;9713b2a8;2;103
28770722;9713b2a8;3;99
28770722;9713b2a8;4;94
28770722;9713b2a8;5;101
28770722;9713b2a8;6;87
28770722;9713b2a8;7;96
28770722;9713b2a8;8;86
28770722;9713b2a8;9;88
28770722;a4610359;1;249
28770722;a4610359;10;235
28770722;a4610359;11;234
28770722;a4610359;12;231
28770722;a4610359;13;234
28770722;a4610359;14;
28770722;a4610359;2;259
28770722;a4610359;3;261
28770722;a4610359;4;263
28770722;a4610359;5;260
28770722;a4610359;6;241
28770722;a4610359;7;231
28770722;a4610359;8;236
28770722;a4610359;9;231
28770722;eef7ba3b;1;57
28770722;eef7ba3b;10;53
28770722;eef7ba3b;11;54
28770722;eef7ba3b;12;54
28770722;eef7ba3b;13;52
28770722;eef7ba3b;14;54
28770722;eef7ba3b;2;58
28770722;eef7ba3b;3;57
28770722;eef7ba3b;4;56
28770722;eef7ba3b;5;59
28770722;eef7ba3b;6;55
28770722;eef7ba3b;7;53
28770722;eef7ba3b;8;54
28770722;eef7ba3b;9;55
