shapeless-commit;upickle-commit;run;time_sec
28770722;69fd7f8c;1;82
28770722;69fd7f8c;10;83
28770722;69fd7f8c;11;83
28770722;69fd7f8c;12;86
28770722;69fd7f8c;13;83
28770722;69fd7f8c;14;86
28770722;69fd7f8c;15;82
28770722;69fd7f8c;2;91
28770722;69fd7f8c;3;85
28770722;69fd7f8c;4;90
28770722;69fd7f8c;5;83
28770722;69fd7f8c;6;79
28770722;69fd7f8c;7;84
28770722;69fd7f8c;8;91
28770722;69fd7f8c;9;83
28770722;962526e1;1;88
28770722;962526e1;10;113
28770722;962526e1;11;110
28770722;962526e1;12;91
28770722;962526e1;13;93
28770722;962526e1;14;86
28770722;962526e1;15;95
28770722;962526e1;2;94
28770722;962526e1;3;96
28770722;962526e1;4;96
28770722;962526e1;5;90
28770722;962526e1;6;93
28770722;962526e1;7;90
28770722;962526e1;8;94
28770722;962526e1;9;95
28770722;9713b2a8;1;59
28770722;9713b2a8;10;49
28770722;9713b2a8;11;59
28770722;9713b2a8;12;58
28770722;9713b2a8;13;58
28770722;9713b2a8;14;56
28770722;9713b2a8;15;51
28770722;9713b2a8;2;58
28770722;9713b2a8;3;59
28770722;9713b2a8;4;57
28770722;9713b2a8;5;58
28770722;9713b2a8;6;57
28770722;9713b2a8;7;50
28770722;9713b2a8;8;52
28770722;9713b2a8;9;55
28770722;a4610359;1;170
28770722;a4610359;10;161
28770722;a4610359;11;166
28770722;a4610359;12;163
28770722;a4610359;13;166
28770722;a4610359;14;167
28770722;a4610359;15;164
28770722;a4610359;2;165
28770722;a4610359;3;166
28770722;a4610359;4;163
28770722;a4610359;5;169
28770722;a4610359;6;166
28770722;a4610359;7;164
28770722;a4610359;8;170
28770722;a4610359;9;161
28770722;eef7ba3b;1;35
28770722;eef7ba3b;10;32
28770722;eef7ba3b;11;32
28770722;eef7ba3b;12;33
28770722;eef7ba3b;13;33
28770722;eef7ba3b;14;32
28770722;eef7ba3b;15;32
28770722;eef7ba3b;2;33
28770722;eef7ba3b;3;32
28770722;eef7ba3b;4;30
28770722;eef7ba3b;5;33
28770722;eef7ba3b;6;30
28770722;eef7ba3b;7;34
28770722;eef7ba3b;8;33
28770722;eef7ba3b;9;32
